Epoch	P1	P2	P3	P4	P5	P6	P7	P8
7.3510	0.00492	0.21537	0.23834	0.22054	0.21877	0.22447	0.27791	0.32357
7.4010	0.00458	0.20399	0.22625	0.20973	0.21002	0.21675	0.27074	0.31691
7.4510	0.00505	0.21574	0.23736	0.21982	0.21927	0.22372	0.27504	0.31889
7.5010	0.00509	0.22279	0.24325	0.22350	0.22111	0.22509	0.27508	0.31794
7.5510	0.00566	0.24303	0.26360	0.24137	0.23671	0.23971	0.29035	0.33072
7.6010	0.00588	0.24702	0.26918	0.24733	0.24283	0.24566	0.29448	0.33550
7.6510	0.00550	0.22890	0.25354	0.23591	0.23444	0.23813	0.28671	0.32902
7.7010	0.00581	0.24234	0.26670	0.24818	0.24478	0.24383	0.28986	0.33483
7.7510	0.00589	0.24376	0.26779	0.25156	0.24884	0.24808	0.28753	0.32517
7.8010	0.00598	0.24350	0.26744	0.25416	0.25419	0.25398	0.29463	0.33556
7.8510	0.00594	0.24276	0.26616	0.25301	0.25292	0.25262	0.29179	0.33319
7.9010	0.00557	0.23767	0.26061	0.24768	0.24919	0.25087	0.29337	0.33652
7.9510	0.00582	0.24049	0.26426	0.24958	0.24906	0.24868	0.29243	0.33789
8.0010	0.00544	0.22698	0.25129	0.23877	0.24032	0.24383	0.29336	0.34449
8.0510	0.00521	0.22176	0.24698	0.23570	0.23877	0.24274	0.28926	0.33995
8.1010	0.00530	0.22806	0.25248	0.23856	0.24019	0.24167	0.28262	0.32542
8.1510	0.00491	0.21065	0.23627	0.22637	0.23172	0.23499	0.27828	0.32430
8.2010	0.00487	0.21166	0.23580	0.22472	0.22920	0.23393	0.28048	0.32832
8.2510	0.00497	0.20867	0.23310	0.22155	0.22469	0.22893	0.27214	0.31725
8.3010	0.00470	0.20280	0.22793	0.21731	0.22262	0.22721	0.27338	0.32421
8.3510	0.00475	0.20399	0.22858	0.21745	0.22338	0.22929	0.27980	0.33362
8.4010	0.00513	0.21164	0.23504	0.22664	0.23452	0.23973	0.28667	0.33441
8.4510	0.00515	0.21707	0.24114	0.23333	0.24029	0.24328	0.29009	0.33855
8.5010	0.00496	0.21397	0.23978	0.23390	0.24264	0.24824	0.29596	0.34429
