Epoch	GAN	Discriminative
40.9010	0.76464	1.92851
40.9510	0.73127	1.92717
41.0010	0.70775	1.97930
41.0510	0.68435	2.07130
41.1010	0.75657	2.02972
41.1510	0.75206	1.94876
41.2010	0.76358	1.95453
41.2510	0.78810	1.95360
41.3010	0.67370	2.08240
41.3510	0.68935	2.10871
41.4010	0.70341	2.11116
41.4510	0.72128	2.13484
41.5010	0.77046	1.97286
41.5510	0.88922	1.84517
41.6010	0.79037	1.97788
41.6510	0.84762	1.85033
41.7010	0.73852	1.94667
41.7510	0.77573	1.94531
41.8010	0.71111	2.07113
41.8510	0.80788	1.92901
41.9010	0.75879	1.97486
41.9510	0.71031	1.98715
42.0010	0.67222	2.08232
42.0510	0.70814	2.06885
42.1010	0.68865	1.97418
42.1510	0.71664	1.98529
42.2010	0.77426	1.96970
42.2510	0.76724	1.97428
42.3010	0.81211	1.81424
42.3510	0.76968	1.88621
42.4010	0.75814	1.93458
42.4510	0.77962	1.92157
42.5010	0.76873	1.95375
42.5510	0.78521	1.91641
42.6010	0.82643	1.84909
42.6510	0.85019	1.77726
42.7010	0.80830	1.83583
42.7510	0.78421	1.87767
42.8010	0.73984	1.88627
42.8510	0.70035	2.04320
42.9010	0.70146	2.11323
42.9510	0.84278	1.88828
43.0010	0.82731	1.89781
43.0510	0.73577	2.07766
43.1010	0.79870	2.00191
43.1510	0.73400	2.03566
43.2010	0.69869	2.06620
43.2510	0.73098	2.06033
43.3010	0.76472	1.94781
43.3510	0.73286	1.94587
43.4010	0.72981	2.04695
43.4510	0.71875	2.09449
43.5010	0.67917	2.09219
43.5510	0.73745	2.01367
43.6010	0.77884	1.98687
43.6510	0.72493	2.03973
43.7010	0.71453	2.04721
43.7510	0.77956	1.94824
43.8010	0.82210	1.83841
43.8510	0.79621	1.89653
43.9010	0.72001	1.97727
43.9510	0.71359	2.01626
44.0010	0.73266	1.98057
44.0510	0.70378	2.14724
44.1010	0.71515	2.07951
44.1510	0.79733	1.91795
44.2010	0.71641	2.06608
44.2510	0.75804	2.01080
44.3010	0.78095	1.93965
44.3510	0.74372	2.00349
44.4010	0.76496	1.91236
44.4510	0.79067	1.81727
44.5010	0.67817	2.05604
44.5510	0.76119	1.91433
44.6010	0.74930	2.00625
44.6510	0.80076	1.93549
44.7010	0.74990	1.98413
44.7510	0.74760	1.96463
44.8010	0.73893	2.03175
44.8510	0.76879	1.92641
44.9010	0.81683	1.95991
44.9510	0.80862	1.89023
45.0010	0.82395	1.88486
45.0510	0.82771	1.82287
45.1010	0.74964	1.95929
45.1510	0.68807	2.03937
45.2010	0.62581	2.11873
45.2510	0.65351	2.13398
45.3010	0.66885	2.10480
45.3510	0.75457	1.99094
45.4010	0.69763	2.04131
45.4510	0.66655	2.10963
45.5010	0.68957	2.17813
45.5510	0.80008	2.00489
